"Name","API Name","Instance Memory","vCPUs","GPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"C7I Eight Extra Large","c7i.8xlarge","64.0 GiB","32 vCPUs","0","EBS only","12.5 Gigabit","$1.4280 hourly","$0.9446 hourly","$0.5336 hourly","$2.9000 hourly","$2.4166 hourly"
"M8G Eight Extra Large","m8g.8xlarge","128.0 GiB","32 vCPUs","0","EBS only","15 Gigabit","$1.4362 hourly","$0.9500 hourly","$0.4726 hourly","unavailable","unavailable"
"M6GD Eight Extra Large","m6gd.8xlarge","128.0 GiB","32 vCPUs","0","1900 GB                 NVMe SSD","12 Gigabit","$1.4464 hourly","$0.9112 hourly","$0.4337 hourly","unavailable","unavailable"
"C7GD Eight Extra Large","c7gd.8xlarge","64.0 GiB","32 vCPUs","0","1900 GB                 NVMe SSD","15 Gigabit","$1.4515 hourly","$0.9148 hourly","$0.4161 hourly","unavailable","unavailable"
"IM4GN Quadruple Extra Large","im4gn.4xlarge","64.0 GiB","16 vCPUs","0","7500 GB                 NVMe SSD","25 Gigabit","$1.4552 hourly","$0.9332 hourly","$0.2076 hourly","unavailable","unavailable"
"R7IZ Quadruple Extra Large","r7iz.4xlarge","128.0 GiB","16 vCPUs","0","EBS only","Up to 12.5 Gigabit","$1.4880 hourly","$0.9374 hourly","$0.4887 hourly","$2.2240 hourly","$1.6734 hourly"
"C5 High-CPU 9xlarge","c5.9xlarge","72.0 GiB","36 vCPUs","0","EBS only","12 Gigabit","$1.5300 hourly","$0.9640 hourly","$0.5452 hourly","$3.1860 hourly","$2.6200 hourly"
"M7I-FLEX Eight Extra Large","m7i-flex.8xlarge","128.0 GiB","32 vCPUs","0","EBS only","Up to 12.5 Gigabit","$1.5322 hourly","$1.0135 hourly","$0.4571 hourly","$2.9306 hourly","$2.4119 hourly"
"M6I Eight Extra Large","m6i.8xlarge","128.0 GiB","32 vCPUs","0","EBS only","12.5 Gigabit","$1.5360 hourly","$1.0161 hourly","$0.4396 hourly","$3.0080 hourly","$2.4881 hourly"
"M5 General Purpose Eight Extra Large","m5.8xlarge","128.0 GiB","32 vCPUs","0","EBS only","10 Gigabit","$1.5360 hourly","$0.9680 hourly","$0.4401 hourly","$3.0080 hourly","$2.4400 hourly"
