"Name","API Name","Instance Memory","vCPUs","GPUs","Instance Storage","Network Performance","On Demand","Linux Reserved cost","Linux Spot Minimum cost","Windows On Demand cost","Windows Reserved cost"
"R6GD 16xlarge","r6gd.16xlarge","512.0 GiB","64 vCPUs","0","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$3.6864 hourly","$2.3224 hourly","$0.8144 hourly","unavailable","unavailable"
"R6GD Metal","r6gd.metal","512.0 GiB","64 vCPUs","0","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$3.6864 hourly","$2.3224 hourly","$0.8781 hourly","unavailable","unavailable"
"C5A 24xlarge","c5a.24xlarge","192.0 GiB","96 vCPUs","0","EBS only","20 Gigabit","$3.6960 hourly","$2.3280 hourly","$1.2748 hourly","$8.1120 hourly","$6.7440 hourly"
"M7A 16xlarge","m7a.16xlarge","256.0 GiB","64 vCPUs","0","EBS only","25 Gigabit","$3.7094 hourly","$2.4538 hourly","$0.9072 hourly","$6.6534 hourly","$5.3978 hourly"
"H1 16xlarge","h1.16xlarge","256.0 GiB","64 vCPUs","0","16000 GB                 (8 * 2000 GB HDD)","25 Gigabit","$3.7440 hourly","$2.5450 hourly","$1.0052 hourly","$6.6880 hourly","$5.4890 hourly"
"R8G 16xlarge","r8g.16xlarge","512.0 GiB","64 vCPUs","0","EBS only","30 Gigabit","$3.7702 hourly","$2.4940 hourly","$0.7157 hourly","unavailable","unavailable"
"M6ID 16xlarge","m6id.16xlarge","256.0 GiB","64 vCPUs","0","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$3.7968 hourly","$2.3920 hourly","$0.8010 hourly","$6.7408 hourly","$5.3360 hourly"
"M5N 16xlarge","m5n.16xlarge","256.0 GiB","64 vCPUs","0","EBS only","75 Gigabit","$3.8080 hourly","$2.3990 hourly","$1.3978 hourly","$6.7520 hourly","$5.3430 hourly"
"M6IDN 12xlarge","m6idn.12xlarge","192.0 GiB","48 vCPUs","0","2850 GB                 (2 * 1425 GB NVMe SSD)","75 Gigabit","$3.8189 hourly","$2.4059 hourly","$1.3126 hourly","$6.0269 hourly","$4.6139 hourly"
"C8G 24xlarge","c8g.24xlarge","192.0 GiB","96 vCPUs","0","EBS only","40 Gigabit","$3.8285 hourly","$2.5228 hourly","$0.5638 hourly","unavailable","unavailable"
"C8G Metal-24xl","c8g.metal-24xl","192.0 GiB","96 vCPUs","0","EBS only","40 Gigabit","$3.8285 hourly","$2.5228 hourly","$0.5570 hourly","unavailable","unavailable"
"C5N 18xlarge","c5n.18xlarge","192.0 GiB","72 vCPUs","0","EBS only","100 Gigabit","$3.8880 hourly","$2.4490 hourly","$0.8212 hourly","$7.2000 hourly","$5.7610 hourly"
"C5N Metal","c5n.metal","192.0 GiB","72 vCPUs","0","EBS only","100 Gigabit","$3.8880 hourly","$2.4490 hourly","$0.5174 hourly","$7.2000 hourly","$5.7610 hourly"
"G4DN 12xlarge","g4dn.12xlarge","192.0 GiB","48 vCPUs","4","900 GB                 NVMe SSD","50 Gigabit","$3.9120 hourly","$2.4650 hourly","$1.2703 hourly","$6.1200 hourly","$4.6730 hourly"
"F2 12xlarge","f2.12xlarge","512.0 GiB","48 vCPUs","0","1880 GB                 (2 * 940 GB NVMe SSD)","25 Gigabit","$3.9600 hourly","unavailable","$0.9428 hourly","unavailable","unavailable"
"M5ZN Metal","m5zn.metal","192.0 GiB","48 vCPUs","0","EBS only","100 Gigabit","$3.9641 hourly","$2.4974 hourly","$0.8122 hourly","$6.1721 hourly","$4.7054 hourly"
"M5ZN 12xlarge","m5zn.12xlarge","192.0 GiB","48 vCPUs","0","EBS only","100 Gigabit","$3.9641 hourly","$2.4974 hourly","$1.7282 hourly","$6.1721 hourly","$4.7054 hourly"
"C7GN Metal","c7gn.metal","128.0 GiB","64 vCPUs","0","EBS only","200 Gigabit","$3.9936 hourly","$2.5160 hourly","$0.3994 hourly","unavailable","unavailable"
"C7GN 16xlarge","c7gn.16xlarge","128.0 GiB","64 vCPUs","0","EBS only","200 Gigabit","$3.9936 hourly","$2.5160 hourly","$0.3994 hourly","unavailable","unavailable"
"D3 Eight Extra Large","d3.8xlarge","256.0 GiB","32 vCPUs","0","47520 GB                 (24 * 1980 GB NVMe HDD)","25 Gigabit","$3.9955 hourly","$2.5172 hourly","$1.2603 hourly","$5.4675 hourly","$3.9892 hourly"
"R5DN 12xlarge","r5dn.12xlarge","384.0 GiB","48 vCPUs","0","1800 GB                 (2 * 900 GB NVMe SSD)","50 Gigabit","$4.0080 hourly","$2.5250 hourly","$1.2736 hourly","$6.2160 hourly","$4.7330 hourly"
"X2GD 12xlarge","x2gd.12xlarge","768.0 GiB","48 vCPUs","0","2850 GB                 (2 * 1425 GB NVMe SSD)","20 Gigabit","$4.0080 hourly","$2.4699 hourly","$0.6273 hourly","unavailable","unavailable"
"R5 16xlarge","r5.16xlarge","512.0 GiB","64 vCPUs","0","EBS only","20 Gigabit","$4.0320 hourly","$2.5400 hourly","$1.0033 hourly","$6.9760 hourly","$5.4840 hourly"
"R6I 16xlarge","r6i.16xlarge","512.0 GiB","64 vCPUs","0","EBS only","25 Gigabit","$4.0320 hourly","$2.6672 hourly","$1.0234 hourly","$6.9760 hourly","$5.6112 hourly"
"C5 High-CPU Metal","c5.metal","192.0 GiB","96 vCPUs","0","EBS only","25 Gigabit","$4.0800 hourly","$2.5700 hourly","$0.7334 hourly","$8.4960 hourly","$6.9860 hourly"
"C6I 24xlarge","c6i.24xlarge","192.0 GiB","96 vCPUs","0","EBS only","37.5 Gigabit","$4.0800 hourly","$2.6989 hourly","$1.1525 hourly","$8.4960 hourly","$7.1149 hourly"
"C5 High-CPU 24xlarge","c5.24xlarge","192.0 GiB","96 vCPUs","0","EBS only","25 Gigabit","$4.0800 hourly","$2.5700 hourly","$1.0003 hourly","$8.4960 hourly","$6.9860 hourly"
"G5 Graphics and Machine Learning GPU 16xlarge","g5.16xlarge","256.0 GiB","64 vCPUs","1","1900 GB                 NVMe SSD","25 Gigabit","$4.0960 hourly","$2.5805 hourly","$1.6901 hourly","$7.0400 hourly","$5.5245 hourly"
"I4I 12xlarge","i4i.12xlarge","384.0 GiB","48 vCPUs","0","11250 GB                 (3 * 3750 GB NVMe SSD)","28.12 Gigabit","$4.1180 hourly","$2.6720 hourly","$1.2826 hourly","$6.3260 hourly","$4.8800 hourly"
"I8G 12xlarge","i8g.12xlarge","384.0 GiB","48 vCPUs","0","11250 GB                 (3 * 3750 GB NVMe SSD)","Up to 28.12 Gigabit","$4.1184 hourly","unavailable","$0.6231 hourly","unavailable","unavailable"
"M5A 24xlarge","m5a.24xlarge","384.0 GiB","96 vCPUs","0","EBS only","20 Gigabit","$4.1280 hourly","$2.6010 hourly","$1.2974 hourly","$8.5440 hourly","$7.0170 hourly"
"C5AD 24xlarge","c5ad.24xlarge","192.0 GiB","96 vCPUs","0","3800 GB                 (2 * 1900 GB NVMe SSD)","20 Gigabit","$4.1280 hourly","$2.6010 hourly","$1.3005 hourly","$8.5440 hourly","$7.0170 hourly"
"M6A 24xlarge","m6a.24xlarge","384.0 GiB","96 vCPUs","0","EBS only","37.5 Gigabit","$4.1472 hourly","$2.7434 hourly","$1.0148 hourly","$8.5632 hourly","$7.1594 hourly"
"R6IN 12xlarge","r6in.12xlarge","384.0 GiB","48 vCPUs","0","EBS only","75 Gigabit","$4.1839 hourly","$2.6359 hourly","$1.4329 hourly","$6.3919 hourly","$4.8439 hourly"
"R5AD 16xlarge","r5ad.16xlarge","512.0 GiB","64 vCPUs","0","2400 GB                 (4 * 600 GB NVMe SSD)","12 Gigabit","$4.1920 hourly","$2.6410 hourly","$1.1729 hourly","$7.1360 hourly","$5.5850 hourly"
"D3EN Eight Extra Large","d3en.8xlarge","128.0 GiB","32 vCPUs","0","223680 GB                 (16 * 13980 GB NVMe HDD)","50 Gigabit","$4.2058 hourly","$2.6496 hourly","$1.1163 hourly","$5.6778 hourly","$4.1216 hourly"
"R7I 16xlarge","r7i.16xlarge","512.0 GiB","64 vCPUs","0","EBS only","25 Gigabit","$4.2336 hourly","$2.8005 hourly","$0.5618 hourly","$7.1776 hourly","$5.7445 hourly"
"R4 High-Memory 16xlarge","r4.16xlarge","488.0 GiB","64 vCPUs","0","EBS only","25 Gigabit","$4.2560 hourly","$2.6880 hourly","$1.4232 hourly","$7.2000 hourly","$5.6320 hourly"
"C7I Metal-24xl","c7i.metal-24xl","192.0 GiB","96 vCPUs","0","EBS only","37.5 Gigabit","$4.2840 hourly","$2.8339 hourly","$0.6191 hourly","$8.7000 hourly","$7.2499 hourly"
"C7I 24xlarge","c7i.24xlarge","192.0 GiB","96 vCPUs","0","EBS only","37.5 Gigabit","$4.2840 hourly","$2.8339 hourly","$1.1132 hourly","$8.7000 hourly","$7.2499 hourly"
"M8G 24xlarge","m8g.24xlarge","384.0 GiB","96 vCPUs","0","EBS only","40 Gigabit","$4.3085 hourly","$2.8501 hourly","$1.2163 hourly","unavailable","unavailable"
"M8G Metal-24xl","m8g.metal-24xl","384.0 GiB","96 vCPUs","0","EBS only","40 Gigabit","$4.3085 hourly","$2.8501 hourly","$0.7583 hourly","unavailable","unavailable"
"M5DN 16xlarge","m5dn.16xlarge","256.0 GiB","64 vCPUs","0","2400 GB                 (4 * 600 GB NVMe SSD)","75 Gigabit","$4.3520 hourly","$2.7420 hourly","$1.2925 hourly","$7.2960 hourly","$5.6860 hourly"
"G4DN 16xlarge","g4dn.16xlarge","256.0 GiB","64 vCPUs","1","900 GB                 NVMe SSD","50 Gigabit","$4.3520 hourly","$2.7420 hourly","$1.1238 hourly","$7.2960 hourly","$5.6860 hourly"
"R7GD Metal","r7gd.metal","512.0 GiB","64 vCPUs","0","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","$4.3546 hourly","$2.7367 hourly","$0.6171 hourly","unavailable","unavailable"
"R7GD 16xlarge","r7gd.16xlarge","512.0 GiB","64 vCPUs","0","3800 GB                 (2 * 1900 GB NVMe SSD)","30 Gigabit","$4.3546 hourly","$2.7367 hourly","$1.1317 hourly","unavailable","unavailable"
"M6IN 16xlarge","m6in.16xlarge","256.0 GiB","64 vCPUs","0","EBS only","100 Gigabit","$4.4554 hourly","$2.8069 hourly","$1.9194 hourly","$7.3994 hourly","$5.7509 hourly"
"R7IZ 12xlarge","r7iz.12xlarge","384.0 GiB","48 vCPUs","0","EBS only","25 Gigabit","$4.4640 hourly","$2.8123 hourly","$1.1564 hourly","$6.6720 hourly","$5.0203 hourly"
"Z1D 12xlarge","z1d.12xlarge","384.0 GiB","48 vCPUs","0","1800 GB                 (2 * 900 GB NVMe SSD)","25 Gigabit","$4.4640 hourly","$2.8120 hourly","$0.7094 hourly","$6.6720 hourly","$5.0200 hourly"
"Z1D Metal","z1d.metal","384.0 GiB","48 vCPUs","0","1800 GB                 (2 * 900 GB NVMe SSD)","25 Gigabit","$4.4640 hourly","$2.8120 hourly","$0.5758 hourly","$6.6720 hourly","$5.0200 hourly"
"G6e Graphics and Machine Learning GPU Eight Extra Large","g6e.8xlarge","256.0 GiB","32 vCPUs","1","900 GB                 (2 * 450 GB NVMe SSD)","25 Gigabit","$4.5286 hourly","$2.8530 hourly","$1.6579 hourly","$6.0006 hourly","$4.3250 hourly"
"G3 Graphics GPU 16xlarge","g3.16xlarge","488.0 GiB","64 vCPUs","4","EBS only","20 Gigabit","$4.5600 hourly","unavailable","unavailable","$7.5040 hourly","unavailable"
"G6 Graphics and Machine Learning GPU 12xlarge","g6.12xlarge","192.0 GiB","48 vCPUs","4","3760 GB                 (4 * 940 GB NVMe SSD)","40 Gigabit","$4.6016 hourly","$2.9956 hourly","$2.0179 hourly","$6.8096 hourly","$5.2036 hourly"
"C5 High-CPU 24xlarge","c5d.24xlarge","192.0 GiB","96 vCPUs","0","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","$4.6080 hourly","$2.9030 hourly","$1.2810 hourly","$9.0240 hourly","$7.3190 hourly"
"C5 High-CPU Metal","c5d.metal","192.0 GiB","96 vCPUs","0","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","$4.6080 hourly","$2.9030 hourly","$0.7648 hourly","$9.0240 hourly","$7.3190 hourly"
"R5D 16xlarge","r5d.16xlarge","512.0 GiB","64 vCPUs","0","2400 GB                 (4 * 600 GB NVMe SSD)","20 Gigabit","$4.6080 hourly","$2.9030 hourly","$1.2541 hourly","$7.5520 hourly","$5.8470 hourly"
"M6I 24xlarge","m6i.24xlarge","384.0 GiB","96 vCPUs","0","EBS only","37.5 Gigabit","$4.6080 hourly","$3.0482 hourly","$1.2992 hourly","$9.0240 hourly","$7.4642 hourly"
"M5 General Purpose 24xlarge","m5.24xlarge","384.0 GiB","96 vCPUs","0","EBS only","25 Gigabit","$4.6080 hourly","$2.9030 hourly","$1.2085 hourly","$9.0240 hourly","$7.3190 hourly"
"M5 General Purpose Metal","m5.metal","384.0 GiB","96 vCPUs","0","EBS only","25 Gigabit","$4.6080 hourly","$2.9030 hourly","$0.7932 hourly","$9.0240 hourly","$7.3190 hourly"
"IS4GEN Eight Extra Large","is4gen.8xlarge","192.0 GiB","32 vCPUs","0","30000 GB                 (4 * 7500 GB NVMe SSD)","50 Gigabit","$4.6104 hourly","$3.1445 hourly","$0.4610 hourly","unavailable","unavailable"
"R6IDN 12xlarge","r6idn.12xlarge","384.0 GiB","48 vCPUs","0","2850 GB                 (2 * 1425 GB NVMe SSD)","75 Gigabit","$4.6894 hourly","$2.9543 hourly","$1.5244 hourly","$6.8974 hourly","$5.1623 hourly"
"X8G 12xlarge","x8g.12xlarge","768.0 GiB","48 vCPUs","0","EBS only","22.5 Gigabit","$4.6896 hourly","$2.8899 hourly","$0.6107 hourly","unavailable","unavailable"
"INF1 24xlarge","inf1.24xlarge","192.0 GiB","96 vCPUs","16","EBS only","100 Gigabit","$4.7210 hourly","$2.9740 hourly","$0.6752 hourly","unavailable","unavailable"
"R5N 16xlarge","r5n.16xlarge","512.0 GiB","64 vCPUs","0","EBS only","75 Gigabit","$4.7680 hourly","$3.0040 hourly","$1.2009 hourly","$7.7120 hourly","$5.9480 hourly"
"R5B 16xlarge","r5b.16xlarge","512.0 GiB","64 vCPUs","0","EBS only","20 Gigabit","$4.7680 hourly","$3.0038 hourly","$1.9688 hourly","$7.7120 hourly","$5.9478 hourly"
"R6ID 16xlarge","r6id.16xlarge","512.0 GiB","64 vCPUs","0","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$4.8384 hourly","$3.0408 hourly","$1.4090 hourly","$7.7824 hourly","$5.9848 hourly"
"C6ID 24xlarge","c6id.24xlarge","192.0 GiB","96 vCPUs","0","5700 GB                 (4 * 1425 GB NVMe SSD)","37.5 Gigabit","$4.8384 hourly","$3.0492 hourly","$1.1445 hourly","$9.2544 hourly","$7.4652 hourly"
"M7I Metal-24xl","m7i.metal-24xl","384.0 GiB","96 vCPUs","0","EBS only","37.5 Gigabit","$4.8384 hourly","$3.2006 hourly","$0.8118 hourly","$9.2544 hourly","$7.6166 hourly"
"M7I 24xlarge","m7i.24xlarge","384.0 GiB","96 vCPUs","0","EBS only","37.5 Gigabit","$4.8384 hourly","$3.2006 hourly","$0.7521 hourly","$9.2544 hourly","$7.6166 hourly"
"R7A 16xlarge","r7a.16xlarge","512.0 GiB","64 vCPUs","0","EBS only","25 Gigabit","$4.8688 hourly","$3.2207 hourly","$1.0478 hourly","$7.8128 hourly","$6.1647 hourly"
"C6A 32xlarge","c6a.32xlarge","256.0 GiB","128 vCPUs","0","EBS only","50 Gigabit","$4.8960 hourly","$3.2387 hourly","$1.4811 hourly","$10.7840 hourly","$9.1267 hourly"
"C7A 24xlarge","c7a.24xlarge","192.0 GiB","96 vCPUs","0","EBS only","37.5 Gigabit","$4.9267 hourly","$3.2590 hourly","$1.3741 hourly","$9.3427 hourly","$7.6750 hourly"
"I4G 16xlarge","i4g.16xlarge","512.0 GiB","64 vCPUs","0","15000 GB                 (4 * 3750 GB NVMe SSD)","37.5 Gigabit","$4.9421 hourly","$3.2071 hourly","$0.7958 hourly","unavailable","unavailable"
"M5AD 24xlarge","m5ad.24xlarge","384.0 GiB","96 vCPUs","0","3600 GB                 (4 * 900 GB NVMe SSD)","20 Gigabit","$4.9440 hourly","$3.1150 hourly","$3.4952 hourly","$9.3600 hourly","$7.5310 hourly"
"I3 High I/O 16xlarge","i3.16xlarge","488.0 GiB","64 vCPUs","0","15200 GB                 (8 * 1900 GB NVMe SSD)","25 Gigabit","$4.9920 hourly","$3.4270 hourly","$1.5453 hourly","$7.9360 hourly","$6.3710 hourly"
"I3 High I/O Metal","i3.metal","512.0 GiB","72 vCPUs","0","15200 GB                 (8 * 1900 GB NVMe SSD)","25 Gigabit","$4.9920 hourly","$3.4270 hourly","$0.6108 hourly","$7.9360 hourly","$6.3710 hourly"
"X2IEZN 6xlarge","x2iezn.6xlarge","768.0 GiB","24 vCPUs","0","EBS only","50 Gigabit","$5.0040 hourly","$3.0807 hourly","$1.2754 hourly","$6.1080 hourly","$4.1847 hourly"
"M6IDN 16xlarge","m6idn.16xlarge","256.0 GiB","64 vCPUs","0","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","$5.0918 hourly","$3.2079 hourly","$1.7590 hourly","$8.0358 hourly","$6.1519 hourly"
"VT1 24xlarge","vt1.24xlarge","192.0 GiB","96 vCPUs","0","EBS only","25 Gigabit","$5.2000 hourly","$3.2760 hourly","$1.5044 hourly","unavailable","unavailable"
"R5DN 16xlarge","r5dn.16xlarge","512.0 GiB","64 vCPUs","0","2400 GB                 (4 * 600 GB NVMe SSD)","75 Gigabit","$5.3440 hourly","$3.3670 hourly","$1.6231 hourly","$8.2880 hourly","$6.3110 hourly"
"X2GD Metal","x2gd.metal","1024.0 GiB","64 vCPUs","0","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$5.3440 hourly","$3.2932 hourly","$0.5344 hourly","unavailable","unavailable"
"X2GD 16xlarge","x2gd.16xlarge","1024.0 GiB","64 vCPUs","0","3800 GB                 (2 * 1900 GB NVMe SSD)","25 Gigabit","$5.3440 hourly","$3.2932 hourly","$1.1259 hourly","unavailable","unavailable"
"I3EN 12xlarge","i3en.12xlarge","384.0 GiB","48 vCPUs","0","30000 GB                 (4 * 7500 GB NVMe SSD)","50 Gigabit","$5.4240 hourly","$3.6940 hourly","$1.8781 hourly","$7.6320 hourly","$5.9020 hourly"
"M5 General Purpose 24xlarge","m5d.24xlarge","384.0 GiB","96 vCPUs","0","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","$5.4240 hourly","$3.4170 hourly","$2.5856 hourly","$9.8400 hourly","$7.8330 hourly"
"R5A 24xlarge","r5a.24xlarge","768.0 GiB","96 vCPUs","0","EBS only","20 Gigabit","$5.4240 hourly","$3.4170 hourly","$1.4891 hourly","$9.8400 hourly","$7.8330 hourly"
"M5 General Purpose Metal","m5d.metal","384.0 GiB","96 vCPUs","0","3600 GB                 (4 * 900 GB NVMe SSD)","25 Gigabit","$5.4240 hourly","$3.4170 hourly","$1.2748 hourly","$9.8400 hourly","$7.8330 hourly"
"C6I Metal","c6i.metal","256.0 GiB","128 vCPUs","0","EBS only","50 Gigabit","$5.4400 hourly","$3.5986 hourly","$0.7676 hourly","$11.3280 hourly","$9.4866 hourly"
"C6I 32xlarge","c6i.32xlarge","256.0 GiB","128 vCPUs","0","EBS only","50 Gigabit","$5.4400 hourly","$3.5986 hourly","$1.4978 hourly","$11.3280 hourly","$9.4866 hourly"
"R6A 24xlarge","r6a.24xlarge","768.0 GiB","96 vCPUs","0","EBS only","37.5 Gigabit","$5.4432 hourly","$3.6007 hourly","$1.4912 hourly","$9.8592 hourly","$8.0167 hourly"
"C6IN 24xlarge","c6in.24xlarge","192.0 GiB","96 vCPUs","0","EBS only","150 Gigabit","$5.4432 hourly","$3.4292 hourly","$1.5536 hourly","$9.8592 hourly","$7.8452 hourly"
"I4I 16xlarge","i4i.16xlarge","512.0 GiB","64 vCPUs","0","15000 GB                 (4 * 3750 GB NVMe SSD)","37.5 Gigabit","$5.4910 hourly","$3.5630 hourly","$1.6445 hourly","$8.4350 hourly","$6.5070 hourly"
"I8G 16xlarge","i8g.16xlarge","512.0 GiB","64 vCPUs","0","15000 GB                 (4 * 3750 GB NVMe SSD)","Up to 37.5 Gigabit","$5.4912 hourly","unavailable","$0.5857 hourly","unavailable","unavailable"
"D2 Eight Extra Large","d2.8xlarge","244.0 GiB","36 vCPUs","0","49152 GB                 (24 * 2048 GB HDD)","10 Gigabit","$5.5200 hourly","$3.2160 hourly","$0.6735 hourly","$6.1980 hourly","$3.3000 hourly"
"M6A 32xlarge","m6a.32xlarge","512.0 GiB","128 vCPUs","0","EBS only","50 Gigabit","$5.5296 hourly","$3.6578 hourly","$1.3625 hourly","$11.4176 hourly","$9.5458 hourly"
"M7A 24xlarge","m7a.24xlarge","384.0 GiB","96 vCPUs","0","EBS only","37.5 Gigabit","$5.5642 hourly","$3.6807 hourly","$1.3821 hourly","$9.9802 hourly","$8.0967 hourly"
"R6IN 16xlarge","r6in.16xlarge","512.0 GiB","64 vCPUs","0","EBS only","100 Gigabit","$5.5786 hourly","$3.5145 hourly","$1.2182 hourly","$8.5226 hourly","$6.4585 hourly"
"R8G Metal-24xl","r8g.metal-24xl","768.0 GiB","96 vCPUs","0","EBS only","40 Gigabit","$5.6554 hourly","$3.7410 hourly","$0.7784 hourly","unavailable","unavailable"
"R8G 24xlarge","r8g.24xlarge","768.0 GiB","96 vCPUs","0","EBS only","40 Gigabit","$5.6554 hourly","$3.7410 hourly","$0.9075 hourly","unavailable","unavailable"
"G5 Graphics and Machine Learning GPU 12xlarge","g5.12xlarge","192.0 GiB","48 vCPUs","4","3800 GB                 NVMe SSD","40 Gigabit","$5.6720 hourly","$3.5734 hourly","$2.1844 hourly","$7.8800 hourly","$5.7814 hourly"
"M6ID 24xlarge","m6id.24xlarge","384.0 GiB","96 vCPUs","0","5700 GB                 (4 * 1425 GB NVMe SSD)","37.5 Gigabit","$5.6952 hourly","$3.5880 hourly","$1.3290 hourly","$10.1112 hourly","$8.0040 hourly"
"M5N 24xlarge","m5n.24xlarge","384.0 GiB","96 vCPUs","0","EBS only","100 Gigabit","$5.7120 hourly","$3.5990 hourly","$1.7879 hourly","$10.1280 hourly","$8.0150 hourly"
"M5N Metal","m5n.metal","384.0 GiB","96 vCPUs","0","EBS only","100 Gigabit","$5.7120 hourly","$3.5990 hourly","$1.4759 hourly","$10.1280 hourly","$8.0150 hourly"
"IM4GN 16xlarge","im4gn.16xlarge","256.0 GiB","64 vCPUs","0","30000 GB                 (4 * 7500 GB NVMe SSD)","100 Gigabit","$5.8207 hourly","$3.7330 hourly","$0.6554 hourly","unavailable","unavailable"
"R7IZ 16xlarge","r7iz.16xlarge","512.0 GiB","64 vCPUs","0","EBS only","25 Gigabit","$5.9520 hourly","$3.7498 hourly","$0.8399 hourly","$8.8960 hourly","$6.6938 hourly"
"R7IZ Metal-16xl","r7iz.metal-16xl","512.0 GiB","64 vCPUs","0","EBS only","25 Gigabit","$5.9520 hourly","$3.7498 hourly","$0.6333 hourly","$8.8960 hourly","$6.6938 hourly"
"R5 Metal","r5.metal","768.0 GiB","96 vCPUs","0","EBS only","25 Gigabit","$6.0480 hourly","$3.8100 hourly","$0.8970 hourly","$10.4640 hourly","$8.2260 hourly"
"R5 24xlarge","r5.24xlarge","768.0 GiB","96 vCPUs","0","EBS only","25 Gigabit","$6.0480 hourly","$3.8100 hourly","$1.5867 hourly","$10.4640 hourly","$8.2260 hourly"
"R6I 24xlarge","r6i.24xlarge","768.0 GiB","96 vCPUs","0","EBS only","37.5 Gigabit","$6.0480 hourly","$4.0008 hourly","$1.5390 hourly","$10.4640 hourly","$8.4168 hourly"
"M6I 32xlarge","m6i.32xlarge","512.0 GiB","128 vCPUs","0","EBS only","50 Gigabit","$6.1440 hourly","$4.0643 hourly","$1.4379 hourly","$12.0320 hourly","$9.9523 hourly"
"M6I Metal","m6i.metal","512.0 GiB","128 vCPUs","0","EBS only","50 Gigabit","$6.1440 hourly","$4.0643 hourly","$1.0488 hourly","$12.0320 hourly","$9.9523 hourly"
"I7IE 12xlarge","i7ie.12xlarge","384.0 GiB","48 vCPUs","0","30000 GB                 (4 * 7500 GB NVMe SSD)","Up to 50 Gigabit","$6.2376 hourly","unavailable","$2.3384 hourly","$8.4456 hourly","unavailable"
"R6IDN 16xlarge","r6idn.16xlarge","512.0 GiB","64 vCPUs","0","3800 GB                 (2 * 1900 GB NVMe SSD)","100 Gigabit","$6.2525 hourly","$3.9391 hourly","$1.7166 hourly","$9.1965 hourly","$6.8831 hourly"
"X8G 16xlarge","x8g.16xlarge","1024.0 GiB","64 vCPUs","0","EBS only","30 Gigabit","$6.2528 hourly","$3.8533 hourly","$1.3855 hourly","unavailable","unavailable"
"R5AD 24xlarge","r5ad.24xlarge","768.0 GiB","96 vCPUs","0","3600 GB                 (4 * 900 GB NVMe SSD)","20 Gigabit","$6.2880 hourly","$3.9610 hourly","$2.3828 hourly","$10.7040 hourly","$8.3770 hourly"
"D3EN 12xlarge","d3en.12xlarge","192.0 GiB","48 vCPUs","0","335520 GB                 (24 * 13980 GB NVMe HDD)","75 Gigabit","$6.3086 hourly","$3.9744 hourly","$0.6309 hourly","$8.5166 hourly","$6.1824 hourly"
"R7I Metal-24xl","r7i.metal-24xl","768.0 GiB","96 vCPUs","0","EBS only","37.5 Gigabit","$6.3504 hourly","$4.2008 hourly","$0.6350 hourly","$10.7664 hourly","$8.6168 hourly"
"R7I 24xlarge","r7i.24xlarge","768.0 GiB","96 vCPUs","0","EBS only","37.5 Gigabit","$6.3504 hourly","$4.2008 hourly","$1.5457 hourly","$10.7664 hourly","$8.6168 hourly"
"C6ID 32xlarge","c6id.32xlarge","256.0 GiB","128 vCPUs","0","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","$6.4512 hourly","$4.0656 hourly","$1.2344 hourly","$12.3392 hourly","$9.9536 hourly"
"C6ID Metal","c6id.metal","256.0 GiB","128 vCPUs","0","7600 GB                 (4 * 1900 GB NVMe SSD)","50 Gigabit","$6.4512 hourly","$4.0656 hourly","$1.3161 hourly","$12.3392 hourly","$9.9536 hourly"
"INF2 24xlarge","inf2.24xlarge","384.0 GiB","96 vCPUs","6","EBS only","50 Gigabit","$6.4906 hourly","$4.0891 hourly","$1.4918 hourly","unavailable","unavailable"
"M5DN 24xlarge","m5dn.24xlarge","384.0 GiB","96 vCPUs","0","3600 GB                 (4 * 900 GB NVMe SSD)","100 Gigabit","$6.5280 hourly","$4.1130 hourly","$2.1349 hourly","$10.9440 hourly","$8.5290 hourly"
"M5DN Metal","m5dn.metal","384.0 GiB","96 vCPUs","0","3600 GB                 (4 * 900 GB NVMe SSD)","100 Gigabit","$6.5280 hourly","$4.1130 hourly","$0.6528 hourly","$10.9440 hourly","$8.5290 hourly"
"C7A 32xlarge","c7a.32xlarge","256.0 GiB","128 vCPUs","0","EBS only","50 Gigabit","$6.5690 hourly","$4.3454 hourly","$1.5878 hourly","$12.4570 hourly","$10.2334 hourly"
"X2IDN 16xlarge","x2idn.16xlarge","1024.0 GiB","64 vCPUs","0","1900 GB                 NVMe SSD","50 Gigabit","$6.6690 hourly","$4.1034 hourly","$2.1260 hourly","$9.6130 hourly","$7.0474 hourly"
"X1 Extra High-Memory 16xlarge","x1.16xlarge","976.0 GiB","64 vCPUs","0","1920 GB                 SSD","10 Gigabit","$6.6690 hourly","$4.1100 hourly","$1.6286 hourly","$9.6130 hourly","$7.0540 hourly"
